LECROYHDO6104,19130,Waveform
Segments,1,SegmentSize,25002
Segment,TrigTime,TimeSinceSegment1
#1,27-Jul-2000 17:00:50,0                 
Time,Ampl
-0.0048202616,0.0014416707
-0.0048198616,0.001775004
-0.0048194616,0.0020638929
-0.0048190616,0.0020472262
-0.0048186616,0.0019638929
-0.0048182616,0.0019972262
-0.0048178616,0.0021444484
-0.0048174616,0.0022527817
-0.0048170616,0.0021916706
-0.0048166616,0.0020666706
-0.0048162616,0.0018916707
-0.0048158616,0.0018111151
-0.0048154616,0.001825004
-0.0048150616,0.0017777818
-0.0048146616,0.0017111151
-0.0048142616,0.0016972262
-0.0048138616,0.0017638929
-0.0048134616,0.0017888929
-0.0048130616,0.0016472262
-0.0048126616,0.0013444485
-0.0048122616,0.0010361151
-0.0048118616,0.00090833738
-0.0048114616,0.00091111516
-0.0048110616,0.0010305596
-0.0048106616,0.001325004
-0.0048102616,0.0017111151
-0.0048098616,0.0020111151
-0.0048094616,0.0020416706
-0.0048090616,0.0018416707
-0.0048086616,0.0016361151
-0.0048082616,0.0015444485
-0.0048078616,0.0016666707
-0.0048074616,0.0020222262
-0.0048070616,0.0024805595
-0.0048066616,0.0027916706
-0.0048062616,0.0027222262
-0.0048058616,0.002400004
-0.0048054616,0.0021555595
-0.0048050616,0.0020916706
-0.0048046616,0.0020666706
-0.0048042616,0.0021138929
-0.0048038616,0.0022305595
-0.0048034616,0.0021972262
-0.0048030616,0.0019861151
-0.0048026616,0.0017805596
-0.0048022616,0.0017583373
-0.0048018616,0.001875004
-0.0048014616,0.0019083373
-0.0048010616,0.001825004
-0.0048006616,0.0018666707
-0.0048002616,0.0022027817
-0.0047998616,0.0026750039
-0.0047994616,0.0026138928
-0.0047990616,0.0018805595
-0.0047986616,0.0012444485
-0.0047982616,0.0013527818
-0.0047978616,0.0019777818
-0.0047974616,0.0022222262
-0.0047970616,0.0019444484
-0.0047966616,0.0017527818
-0.0047962616,0.0019138929
-0.0047958616,0.0021194484
-0.0047954616,0.0020333373
-0.0047950616,0.0019027818
-0.0047946616,0.0018555595
-0.0047942616,0.0018222262
-0.0047938616,0.0017194484
-0.0047934616,0.0015777818
-0.0047930616,0.0014555596
-0.0047926616,0.0013194485
-0.0047922616,0.0014194485
-0.0047918616,0.0018083373
-0.0047914616,0.0022305595
-0.0047910616,0.0024888928
-0.0047906616,0.0024416706
-0.0047902616,0.0020888929
-0.0047898616,0.0015361151
-0.0047894616,0.0011638929
-0.0047890616,0.0014222262
-0.0047886616,0.0018555595
-0.0047882616,0.0018777818
-0.0047878616,0.0015666707
-0.0047874616,0.0014333373
-0.0047870616,0.0017027818
